Вопрос,Ответ,Документ
Что происходит со средствами на счёте эскроу если застройщик не выполнил обязательства в срок?,"Если разрешение на ввод в эксплуатацию не представлено в течение срока условного депонирования, банк возвращает Депоненту находящиеся на счёте эскроу денежные средства не позднее рабочего дня, следующего за днём истечения срока. Исключение: средства материнского (семейного) капитала от ПФР возвращаются по реквизитам ПФР.",накопительный_счет_эскроу.txt / Что происходит при неисполнении застройщиком обязательств
Начисляются ли проценты на средства по счёту эскроу для долевого строительства?,"Проценты на остаток по счёту эскроу для целей долевого строительства не начисляются. Комиссия банку за ведение счёта также не взимается — 0 ₽ (бесплатно). Страховая защита — до 10 млн ₽.",накопительный_счет_эскроу.txt / Основные условия (счёт эскроу ДДУ)
Каков номер счёта у номинального счёта — с каких цифр он начинается?,"Номинальный счёт — счёт для совершения операций с денежными средствами, права на которые принадлежат другому лицу-бенефициару (ст. 860.1 Гражданского кодекса РФ). Номер счёта начинается с 40823. Реквизиты (20-значный номер) необходимо сообщить отправителю выплат — ПФР, суду, работодателю и т.д.",накопительный_счет_номинальный.txt / Назначение счёта; Порядок открытия счёта
Начисляются ли проценты по номинальному счёту?,"Проценты на остаток по номинальному счёту (как опекуна, так и не связанному с опекой) не начисляются. Комиссии по операциям взимаются в соответствии с тарифами банка.",накопительный_счет_номинальный.txt / Основные условия
Застрахован ли номинальный счёт не связанный с опекой по системе страхования вкладов?,"Номинальный счёт, не связанный с опекой и попечительством, не страхуется. Номинальный счёт опекуна (попечителя) застрахован в пределах 1 400 000 ₽ для всех вкладов и счетов, открытых на имя подопечного в Банке.",накопительный_счет_номинальный.txt / Страхование
На чьё имя застрахован номинальный счёт опекуна?,"Номинальный счёт опекуна (попечителя) застрахован в пределах 1 400 000 ₽ для всех вкладов и счетов, открытых на имя подопечного в Банке. Счёт, не связанный с опекой и попечительством, страхованием не защищён.",накопительный_счет_номинальный.txt / Страхование
Требуется ли участие бенефициара при открытии номинального счёта?,"Договор номинального счёта заключается без участия бенефициара — только владелец счёта (опекун или иное уполномоченное лицо) присутствует при открытии. Номинальный счёт опекуна открывается опекуну или попечителю, бенефициаром является подопечный.",накопительный_счет_номинальный.txt / Назначение счёта; Виды номинальных счетов
Какие выплаты подлежат зачислению на номинальный счёт опекуна?,"На счёт опекуна подлежат зачислению: алименты, пенсии, пособия, возмещение вреда здоровью, выплаты при потере кормильца, иные средства на содержание подопечного. Доходы, которыми подопечный вправе распоряжаться самостоятельно, на этот счёт не зачисляются.",накопительный_счет_номинальный.txt / Цели зачисления средств — Номинальный счёт опекуна
Контролирует ли банк использование средств номинального счёта в интересах бенефициара?,"Банк не осуществляет контроль использования средств в интересах бенефициара, за исключением случаев, предусмотренных законодательством РФ. Ответственность за целевое использование средств несёт владелец счёта — опекун или попечитель.",накопительный_счет_номинальный.txt / Расходные операции
На какой срок может быть открыт счёт эскроу для прочих целей (не долевое строительство)?,"Срок действия договора определяется сторонами, не более 5 лет. Зачисление сверх суммы, предусмотренной договором, не допускается — излишек возвращается отправителю не позднее следующего рабочего дня.",накопительный_счет_эскроу.txt / Основные условия (счёт эскроу не ДДУ)
Застрахован ли залоговый счёт военной ипотеки по системе страхования вкладов?,"Страхование средств по залоговому счёту не предусмотрено — ст. 177-ФЗ к нему не применяется. Залоговый счёт открывается участнику НИС — военнослужащему-гражданину РФ, проходящему военную службу по контракту и включённому в реестр участников накопительно-ипотечной системы.",накопительный_счет_залоговый.txt / Основные условия
Какова очерёдность расходных операций по залоговому счёту военной ипотеки?,"Расходные операции осуществляются в безналичном порядке без дополнительного поручения клиента в следующей очерёдности: 1) погашение кредита — списание в счёт полного погашения обязательств клиента по кредитному договору с Банком; 2) возврат средств ЦЖЗ — перечисление для возврата средств целевого жилищного займа в ФГКУ «Росвоенипотека»; 3) остаток клиенту — перечисление на текущий счёт клиента. Иные расходные операции по залоговому счёту не предусмотрены.",накопительный_счет_залоговый.txt / Расходные операции
Как открывается специальный счёт участника закупки по 44-ФЗ и сколько стоит обслуживание?,"Счёт открывается на основании заявления клиента в офисе банка. Открытие и обслуживание — 0 ₽ (бесплатно). Комиссия за блокировку/разблокировку — 0% (отсутствует). Срок открытия — 1 рабочий день с момента предоставления полного пакета документов.",накопительный_счет_специальный_участника_закупки.txt / Основные условия
В течение какого времени банк обязан разблокировать средства на специальном счёте участника закупки?,"Банк обязан прекратить блокировку в течение одного рабочего дня с момента получения информации о прекращении блокирования. В случае просрочки клиент вправе потребовать уплаты пеней: 1/300 действующей ключевой ставки ЦБ РФ от суммы блокирования за каждый день просрочки.",накопительный_счет_специальный_участника_закупки.txt / Допустимые операции; Ответственность банка
Каков лимит наличных средств для должника-гражданина на счёте реструктуризации долгов?,"Выдача наличных должнику возможна только в размере прожиточного минимума, приходящегося на самого должника и лиц на его иждивении. Без согласия финансового управляющего должник вправе совершать операции на сумму не более 50 000 ₽ в месяц. Арбитражный суд может увеличить лимит по ходатайству должника.",накопительный_счет_реструктуризации_долгов.txt / Счёт реструктуризации долгов; Расходные наличные операции
