Вопрос,Ответ,Документ
Какие кредиты можно рефинансировать в РСХБ?,"Рефинансированию подлежат только кредиты, полученные в АО «Россельхозбанк»: потребительские кредиты, автокредиты, кредитные карты (в рублях). Условия для рефинансируемого кредита: срок действия не менее 6 месяцев, без реструктуризации и просроченной задолженности.",кредит_рефинансирование.txt / Что можно рефинансировать
Каков минимальный срок действия кредита для его рефинансирования в РСХБ?,"Рефинансируемый кредит должен действовать не менее 6 месяцев и не иметь реструктуризации или просроченной задолженности. Сумма рефинансирования: от 30 000 до 3 000 000 ₽ на срок от 13 до 60 месяцев.",кредит_рефинансирование.txt / Что можно рефинансировать; Параметры кредита
Какова надбавка к ставке рефинансирования при нарушении условий целевого использования?,"Надбавка 3,0% при нарушении условий предоставления документов, подтверждающих целевое использование. Надбавка 5,5% при отсутствии личного страхования. Базовая ставка: 24,5–31,0% годовых.",кредит_рефинансирование.txt / Параметры кредита
Что финансирует кредит «Газомоторное топливо» и что исключено?,"Цель кредита — установка газобаллонного оборудования (ГБО) на транспортные средства или сельскохозяйственную технику для перевода на альтернативное газомоторное топливо. Не финансируется установка на стационарное оборудование. Сумма: от 30 000 до 300 000 ₽ на срок от 13 до 36 месяцев.",кредит_газомоторное_топливо.txt / Цель кредита; Параметры кредита
Куда банк перечисляет средства по кредиту «Газомоторное топливо»?,"Банк перечисляет средства напрямую на счёт поставщика оборудования — после подписания заёмщиком договора с поставщиком. Это отличает продукт от стандартного потребительского кредита.",кредит_газомоторное_топливо.txt / Порядок выдачи
Какова базовая процентная ставка по кредиту «Газомоторное топливо»?,"Процентная ставка: 27,9% годовых. Без личного страхования — надбавка 5,5%. Полная стоимость кредита (ПСК): 28,314–33,400% годовых.",кредит_газомоторное_топливо.txt / Параметры кредита
Какова льготная ставка по кредиту на благоустройство при выполнении условий субсидирования?,"При выполнении условий субсидирования ставка составляет 3,25–5,0% годовых; ПСК — 3,875–7,300% годовых. При невыполнении условий субсидирования ставка повышается до 33,0% годовых; ПСК — 33,014–38,410% годовых.",кредит_льготный_благоустройство_домовладений.txt / Параметры кредита
До какой суммы можно получить льготный кредит на благоустройство домовладений?,"Сумма кредита: от 30 000 до 700 000 ₽. Срок: от 13 до 60 месяцев. Кредит предназначен для ремонта жилья и подключения коммуникаций в сельских домовладениях.",кредит_льготный_благоустройство_домовладений.txt / Параметры кредита; Назначение
Какое требование к регистрации заёмщика для льготного кредита на благоустройство?,"Постоянная регистрация: на сельских территориях (сельских агломерациях), определённых согласно Постановлению Правительства РФ от 26.11.2019 № 1514. Возраст: от 23 лет; до 65 лет на момент возврата кредита.",кредит_льготный_благоустройство_домовладений.txt / Требования к заёмщику
Что происходит со ставкой льготного кредита при нарушении целевого использования?,"При нарушении условий целевого использования ставка повышается до 33% годовых. Целевое использование подтверждается документами после выдачи кредита в соответствии с Правилами предоставления потребительских целевых кредитов физическим лицам.",кредит_льготный_благоустройство_домовладений.txt / Важно
Может ли банк приостановить приём заявок на льготный кредит на благоустройство и почему?,"Приём заявок на продукт может быть приостановлен на период отсутствия лимита субсидирования, доводимого от Минсельхоза России в Банк. Это означает, что доступность продукта зависит от государственного финансирования.",кредит_льготный_благоустройство_домовладений.txt / Важно
